City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,rikitea,PF,77.29,broken clouds,-23.1203,-134.9692,People ThankYou
1,celestun,MX,81.3,overcast clouds,20.8667,-90.4,Posada Lilia
3,butaritari,KI,81.01,few clouds,3.0707,172.7902,Isles Sunset Lodge
6,tahta,EG,82.38,clear sky,26.7693,31.5021,فندق الزيات
9,puerto ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,moses lake,US,78.89,overcast clouds,47.1301,-119.2781,Ramada by Wyndham Moses Lake
23,bambanglipuro,ID,76.59,scattered clouds,-7.95,110.2833,Puri Brata
28,vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,sao filipe,CV,77.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
40,port blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
43,ugoofaaru,MV,82.36,few clouds,5.6667,73.0,Ungoofaaru Inn
45,fasa,IR,76.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
49,anajatuba,BR,75.2,overcast clouds,-3.2644,-44.6197,Pousada Por do Sol
55,bambous virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
56,dingle,PH,76.98,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
61,kapaa,US,82.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,yinchuan,CN,76.26,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
75,labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
79,udgir,IN,82.26,scattered clouds,18.3833,77.1167,Sarpmitra Ganesh Kallure
80,atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
81,bud,US,77.02,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
84,juneau,US,78.84,clear sky,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
88,acarau,BR,77.54,overcast clouds,-2.8856,-40.12,castelo pizzaria
91,douglas,US,81.95,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
94,morehead,US,79.86,broken clouds,37.2711,-87.1764,CCI Express Inn
96,stephenville,US,83.77,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
97,sao joao da barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,susanville,US,78.64,clear sky,40.4163,-120.653,Comfort Inn & Suites
104,hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
111,robertsport,LR,80.98,broken clouds,6.7533,-11.3686,Kwepunha Retreat
112,port keats,AU,76.06,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
114,san andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
118,pacific grove,US,80.38,overcast clouds,36.6177,-121.9166,Lovers Point Inn
119,karimganj,IN,76.42,light rain,24.8667,92.35,Ahar Hotel And Aheli Restaurant
120,coahuayana,MX,84.81,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
123,mahad,IN,80.08,overcast clouds,18.0833,73.4167,Hotel Saitej
124,mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,pekalongan,ID,77.22,broken clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
130,sitio novo do tocantins,BR,87.73,few clouds,-5.5183,-47.4611,Imperial Hotel
131,sao jose da coroa grande,BR,76.98,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
132,hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
138,hoshiarpur,IN,86.38,clear sky,31.5322,75.9172,Hotel Fine Dining
144,avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
154,georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
156,cape coast,GH,79.84,broken clouds,5.1053,-1.2466,Samrit Hotel
158,kutum,SD,82.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
159,hamilton,US,77.16,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
163,najran,SA,75.52,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
168,kahului,US,80.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
169,sawakin,SD,86.0,clear sky,19.1059,37.3321,فندق الدويم
171,palimbang,PH,77.83,broken clouds,6.2106,124.1894,Felmar Beach resort
176,matadi,CD,75.18,few clouds,-5.8167,13.45,Hotel Vivi Palace
179,vilhena,BR,76.62,overcast clouds,-12.7406,-60.1458,Hotel Mirage
186,faanui,PF,78.28,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,mogadishu,SO,79.25,broken clouds,2.0371,45.3438,Hotel Juba
190,broome,US,75.18,overcast clouds,42.2506,-75.833,Chenango Valley State Park
191,bani,DO,83.86,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
192,funtua,NG,80.8,few clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
200,aquiraz,BR,78.19,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
207,touros,BR,77.83,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
211,pivijay,CO,86.02,overcast clouds,10.4617,-74.6162,Hospedaje La Posada
212,anchorage,US,76.86,broken clouds,61.2181,-149.9003,Hotel Captain Cook
213,lorengau,PG,83.21,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,puerto escondido,MX,83.12,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
226,san cristobal,VE,81.45,broken clouds,7.7669,-72.225,Pirineos
229,kismayo,SO,77.81,light rain,-0.3582,42.5454,Agan-Hotel
230,the valley,AI,83.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
231,ratnagiri,IN,82.02,overcast clouds,16.9833,73.3,Hotel Landmark
232,cururupu,BR,75.72,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
233,salalah,OM,80.56,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
239,jeremie,HT,83.86,overcast clouds,18.65,-74.1167,Auberge’Inn
241,cabo san lucas,MX,86.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
244,redmond,US,78.6,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
246,whitehorse,CA,78.03,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
247,biak,ID,76.1,overcast clouds,-0.9131,122.8766,Penginapan Kim
248,gigmoto,PH,81.09,broken clouds,13.7796,124.39,Cj's Travellers Inn
249,victoria,HK,84.38,broken clouds,22.2855,114.1577,Mini Central
252,port-gentil,GA,75.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
253,hosakote,IN,76.01,overcast clouds,14.2769,77.1699,AVN lodge
259,honiara,SB,82.44,few clouds,-9.4333,159.95,Heritage Park Hotel
266,boyolangu,ID,75.51,overcast clouds,-8.1181,111.8935,Yos ega cv
267,conde,BR,75.13,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
269,puerto carreno,CO,76.32,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
270,wanning,CN,80.28,broken clouds,18.8003,110.3967,Paradise Hotel
271,codajas,BR,75.79,broken clouds,-3.8367,-62.0569,Atlântic Hotel
275,miri,MY,75.11,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
278,namatanai,PG,81.39,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
281,hirara,JP,75.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
283,kenai,US,75.02,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
287,san angelo,US,82.62,few clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
291,chake chake,TZ,76.73,few clouds,-5.2459,39.7666,Hotel Archipelago
293,parvatipuram,IN,81.64,broken clouds,18.7833,83.4333,Laxman Lodge
298,cuajinicuilapa,MX,85.73,overcast clouds,16.4667,-98.4167,Pozo S. XVI
301,cabedelo,BR,78.37,broken clouds,-6.9811,-34.8339,Pousada Camboinha
304,itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
305,eureka,US,78.67,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
308,bandarbeyla,SO,78.49,broken clouds,9.4942,50.8122,JABIR HOTEL
312,akyab,MM,80.71,heavy intensity rain,20.15,92.9,Hotel Memory
316,placido de castro,BR,75.74,overcast clouds,-10.3353,-67.1856,Hotel Carioca
317,pecos,US,78.89,broken clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
318,vanimo,PG,79.99,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
323,isangel,VU,78.6,overcast clouds,-19.55,169.2667,Tanna Lodge
324,semporna,MY,79.18,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
325,alofi,NU,79.12,scattered clouds,-19.0595,-169.9187,Taloa Heights
331,pali,IN,85.89,scattered clouds,25.7667,73.3333,HOTEL THE AMBA VILAS
334,sola,VU,81.37,broken clouds,-13.8833,167.55,Leumerus Bungalows
339,fort nelson,CA,79.48,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
344,sao miguel do araguaia,BR,79.99,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
347,bairiki,KI,80.02,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
350,porto velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
352,road town,VG,82.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
353,totness,SR,76.08,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
354,mach,PK,77.74,clear sky,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
355,puerto gaitan,CO,82.09,broken clouds,4.3133,-72.0816,Brisas del Yucao
357,portland,US,78.75,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
359,cotonou,BJ,81.86,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
363,weiser,US,83.89,overcast clouds,44.251,-116.9693,The Colonial Motel
365,manokwari,ID,79.5,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
392,fare,PF,78.55,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
396,fethiye,TR,75.07,scattered clouds,36.6217,29.1164,Club & Hotel Letoonia
399,takoradi,GH,79.34,scattered clouds,4.8845,-1.7554,Raybow International Hotel
400,springfield,US,75.27,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
403,manzil salim,TN,81.99,broken clouds,35.8567,8.4765,mohamed ben khlil omri
406,dhuwaran,IN,85.48,overcast clouds,22.2333,72.8,Amul parlour
408,gerash,IR,79.66,clear sky,27.6652,54.1371,Sa'adat House Gerash
409,marsh harbour,BS,81.34,few clouds,26.5412,-77.0636,Abaco Beach Resort
