City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,rikitea,PF,2022-06-02 21:59:15,-23.1203,-134.9692,77.29,79,76,16.91,broken clouds,0.0,0
1,celestun,MX,2022-06-02 21:59:15,20.8667,-90.4,81.3,74,100,17.85,overcast clouds,0.0,0
2,ushuaia,AR,2022-06-02 21:56:23,-54.8,-68.3,33.46,69,0,2.3,clear sky,0.0,0
3,butaritari,KI,2022-06-02 21:59:16,3.0707,172.7902,81.01,67,23,3.96,few clouds,0.0,0
4,bethel,US,2022-06-02 21:55:12,41.3712,-73.414,70.77,91,100,5.75,overcast clouds,0.0,0
5,thompson,CA,2022-06-02 21:55:07,55.7435,-97.8558,41.16,87,100,14.97,overcast clouds,0.0,0
6,tahta,EG,2022-06-02 21:59:17,26.7693,31.5021,82.38,25,0,4.36,clear sky,0.0,0
7,tibiri,NE,2022-06-02 21:59:17,13.5627,7.0485,89.04,11,1,7.11,clear sky,0.0,0
8,port hardy,CA,2022-06-02 21:59:18,50.6996,-127.4199,57.38,88,75,4.61,broken clouds,0.0,0
9,puerto ayora,EC,2022-06-02 21:59:18,-0.7393,-90.3518,78.76,90,96,4.0,overcast clouds,0.0,0
10,zheshart,RU,2022-06-02 21:59:18,62.0731,49.5733,55.42,89,27,3.47,scattered clouds,0.0,0
11,moses lake,US,2022-06-02 21:59:19,47.1301,-119.2781,78.89,34,100,5.41,overcast clouds,0.0,0
12,geraldton,AU,2022-06-02 21:55:12,-28.7667,114.6,48.61,93,0,9.22,clear sky,0.0,0
13,qaanaaq,GL,2022-06-02 21:59:19,77.484,-69.3632,30.97,84,96,9.78,overcast clouds,0.0,0
14,westport,US,2022-06-02 21:59:19,41.1415,-73.3579,71.28,94,100,7.0,mist,0.0,0
15,albany,US,2022-06-02 21:58:51,42.6001,-73.9662,76.64,62,100,2.89,overcast clouds,0.0,0
16,presidencia roque saenz pena,AR,2022-06-02 21:59:20,-26.7852,-60.4388,50.63,62,1,6.64,clear sky,0.0,0
17,castro,BR,2022-06-02 21:57:39,-24.7911,-50.0119,56.07,99,100,2.84,light rain,0.0,0
18,saint george,US,2022-06-02 21:58:32,37.1041,-113.5841,97.63,8,0,10.0,clear sky,0.0,0
19,borkenes,NO,2022-06-02 21:59:21,68.774,16.1739,58.78,100,37,4.27,scattered clouds,0.0,0
20,ribeira grande,PT,2022-06-02 21:58:53,38.5167,-28.7,64.76,92,78,5.73,broken clouds,0.0,0
21,hobart,AU,2022-06-02 21:55:03,-42.8794,147.3294,48.22,84,75,10.36,broken clouds,0.0,0
22,saldanha,ZA,2022-06-02 21:59:21,-33.0117,17.9442,48.25,77,0,7.34,clear sky,0.0,0
23,bambanglipuro,ID,2022-06-02 21:58:15,-7.95,110.2833,76.59,85,50,0.94,scattered clouds,0.0,0
24,tuktoyaktuk,CA,2022-06-02 21:59:22,69.4541,-133.0374,33.8,93,75,5.75,broken clouds,0.0,0
25,egvekinot,RU,2022-06-02 21:59:22,66.3167,-179.1667,35.94,79,64,8.79,broken clouds,0.0,0
26,plettenberg bay,ZA,2022-06-02 21:59:23,-34.0527,23.3716,54.19,83,39,4.76,scattered clouds,0.0,0
27,jamestown,US,2022-06-02 21:59:23,42.097,-79.2353,61.02,60,100,13.8,overcast clouds,0.0,0
28,vaini,TO,2022-06-02 21:56:14,-21.2,-175.2,80.76,78,75,6.91,broken clouds,0.0,0
29,rawson,AR,2022-06-02 21:59:24,-43.3002,-65.1023,48.06,38,58,21.88,broken clouds,0.0,0
30,xai-xai,MZ,2022-06-02 21:59:24,-25.0519,33.6442,65.12,81,3,4.41,clear sky,0.0,0
31,charlestown,AU,2022-06-02 21:59:24,-32.95,151.6667,45.73,92,90,5.01,overcast clouds,0.0,0
32,bluff,NZ,2022-06-02 21:59:25,-46.6,168.3333,47.8,74,100,15.17,overcast clouds,0.0,0
33,esperance,AU,2022-06-02 21:59:25,-33.8667,121.9,55.69,73,75,12.75,broken clouds,0.0,0
34,provideniya,RU,2022-06-02 21:59:25,64.3833,-173.3,41.11,81,0,4.47,clear sky,0.0,0
35,palana,RU,2022-06-02 21:59:26,59.1167,159.9667,43.56,64,15,6.33,few clouds,0.0,0
36,sao filipe,CV,2022-06-02 21:54:53,14.8961,-24.4956,77.74,68,34,11.68,scattered clouds,0.0,0
37,hermanus,ZA,2022-06-02 21:59:26,-34.4187,19.2345,49.8,76,1,7.49,clear sky,0.0,0
38,chokurdakh,RU,2022-06-02 21:59:27,70.6333,147.9167,38.05,67,68,7.02,broken clouds,0.0,0
39,kiama,AU,2022-06-02 21:56:30,-34.6833,150.8667,45.57,87,100,4.79,overcast clouds,0.0,0
40,port blair,IN,2022-06-02 21:59:27,11.6667,92.75,78.84,89,75,2.3,mist,0.0,0
41,rantepao,ID,2022-06-02 21:59:27,-2.9701,119.8978,62.29,89,43,3.29,scattered clouds,0.0,0
42,chuy,UY,2022-06-02 21:59:28,-33.6971,-53.4616,47.82,61,90,8.12,overcast clouds,0.0,0
43,ugoofaaru,MV,2022-06-02 21:59:28,5.6667,73.0,82.36,76,14,17.22,few clouds,0.0,0
44,saskylakh,RU,2022-06-02 21:59:28,71.9167,114.0833,37.13,93,97,2.95,overcast clouds,0.0,0
45,fasa,IR,2022-06-02 21:59:29,28.9383,53.6482,76.24,10,0,9.22,clear sky,0.0,0
46,kawalu,ID,2022-06-02 21:59:29,-7.3817,108.2082,69.98,97,51,1.43,broken clouds,0.0,0
47,dikson,RU,2022-06-02 21:59:29,73.5069,80.5464,28.4,88,100,29.82,overcast clouds,0.0,0
48,panzhihua,CN,2022-06-02 21:59:30,26.5851,101.7128,73.26,81,100,1.1,overcast clouds,0.0,0
49,anajatuba,BR,2022-06-02 21:59:30,-3.2644,-44.6197,75.2,93,100,1.23,overcast clouds,0.0,0
50,tateyama,JP,2022-06-02 21:59:30,34.9833,139.8667,74.1,82,32,13.35,scattered clouds,0.0,0
